img, IoU_img, TP, FP, FN, TN, accuracy, precision, recall, F1, TPR, FPR
batch_1/000006.jpg,0.201,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000008.jpg,0.652,1,3,1,2,0.429,0.25,0.5,0.333,0.5,0.6,
batch_1/000010.jpg,0.329,1,0,1,2,0.75,1.0,0.5,0.667,0.5,0.0,
batch_1/000019.jpg,0.517,0,1,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000026.jpg,0.654,1,3,0,1,0.4,0.25,1.0,0.4,1.0,0.75,
batch_1/000047.jpg,0.651,2,4,4,1,0.273,0.333,0.333,0.333,0.333,0.8,
batch_1/000055.jpg,0.576,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000001.jpg,0.962,2,1,0,2,0.8,0.667,1.0,0.8,1.0,0.333,
batch_1/000005.jpg,0.401,1,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,
batch_1/000007.jpg,0.202,0,4,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000012.jpg,0.383,0,0,2,0,0.0,0,0.0,0,0.0,0,
batch_1/000014.jpg,0.358,1,2,5,5,0.462,0.333,0.167,0.222,0.167,0.286,
batch_1/000048.jpg,0.474,2,7,8,4,0.286,0.222,0.2,0.211,0.2,0.636,
batch_1/000053.jpg,0.32,3,7,1,4,0.467,0.3,0.75,0.429,0.75,0.636,
batch_1/000056.jpg,0.547,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000058.jpg,0.62,0,0,3,0,0.0,0,0.0,0,0.0,0,
batch_1/000060.jpg,0.17,1,11,1,4,0.294,0.083,0.5,0.143,0.5,0.733,
batch_1/000003.jpg,0.682,1,1,0,1,0.667,0.5,1.0,0.667,1.0,0.5,
batch_1/000011.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000032.jpg,0.616,1,3,1,1,0.333,0.25,0.5,0.333,0.5,0.75,
batch_1/000040.jpg,0.329,0,4,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000043.jpg,0.786,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000049.jpg,0.75,0,2,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000054.jpg,0.852,3,1,1,1,0.667,0.75,0.75,0.75,0.75,0.5,
batch_1/000061.jpg,0.775,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000021.jpg,0.394,1,2,1,1,0.4,0.333,0.5,0.4,0.5,0.667,
batch_1/000022.jpg,0.405,1,4,1,2,0.375,0.2,0.5,0.286,0.5,0.667,
batch_1/000023.jpg,0.784,0,0,7,0,0.0,0,0.0,0,0.0,0,
batch_1/000024.jpg,0.554,1,2,2,2,0.429,0.333,0.333,0.333,0.333,0.5,
batch_1/000027.jpg,0.101,0,4,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000028.jpg,0,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000030.jpg,0.226,1,0,0,2,1.0,1.0,1.0,1.0,1.0,0.0,
batch_1/000031.jpg,0.468,1,2,0,1,0.5,0.333,1.0,0.5,1.0,0.667,
batch_1/000042.jpg,0.281,0,4,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000050.jpg,0.556,2,5,0,1,0.375,0.286,1.0,0.444,1.0,0.833,
batch_1/000059.jpg,0.205,3,2,1,5,0.727,0.6,0.75,0.667,0.75,0.286,
batch_1/000000.jpg,0.859,1,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,
batch_1/000013.jpg,0.208,1,0,0,3,1.0,1.0,1.0,1.0,1.0,0.0,
batch_1/000015.jpg,0.131,1,1,1,5,0.75,0.5,0.5,0.5,0.5,0.167,
batch_1/000016.jpg,0.164,0,4,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000017.jpg,0.391,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000025.jpg,0.464,2,0,1,1,0.75,1.0,0.667,0.8,0.667,0.0,
batch_1/000029.jpg,0.73,1,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,
batch_1/000035.jpg,0.4,2,6,1,2,0.364,0.25,0.667,0.364,0.667,0.75,
batch_1/000037.jpg,0.288,0,11,5,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000045.jpg,0.422,0,4,6,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000038.jpg,0.944,0,3,6,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000065.JPG,0.463,0,9,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000066.JPG,0.306,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000067.JPG,0.334,0,9,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000068.JPG,0.016,1,0,2,3,0.667,1.0,0.333,0.5,0.333,0.0,
batch_1/000069.JPG,0.936,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000070.JPG,0.114,1,5,0,1,0.286,0.167,1.0,0.286,1.0,0.833,
batch_1/000071.JPG,0.355,0,3,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000072.JPG,0.116,0,5,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000073.JPG,0.459,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000074.JPG,0.887,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000076.JPG,0,0,1,7,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000078.JPG,0.335,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000079.JPG,0.41,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000081.JPG,0.417,1,0,2,1,0.5,1.0,0.333,0.5,0.333,0.0,
batch_1/000082.JPG,0.927,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000083.JPG,0.161,1,4,1,1,0.286,0.2,0.5,0.286,0.5,0.8,
batch_1/000084.JPG,0.823,3,6,1,1,0.364,0.333,0.75,0.462,0.75,0.857,
batch_1/000085.JPG,0.925,0,1,9,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000086.JPG,0.83,0,2,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000087.JPG,0.027,1,9,1,1,0.167,0.1,0.5,0.167,0.5,0.9,
batch_1/000088.JPG,0.583,2,3,2,3,0.5,0.4,0.5,0.444,0.5,0.5,
batch_1/000090.JPG,0.483,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000091.JPG,0.78,1,3,1,2,0.429,0.25,0.5,0.333,0.5,0.6,
batch_1/000092.JPG,0.465,0,3,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000093.JPG,0.405,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000094.JPG,0.486,0,5,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000095.JPG,0.646,3,2,0,2,0.714,0.6,1.0,0.75,1.0,0.5,
batch_1/000096.JPG,0.451,0,7,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000062.JPG,0.289,4,12,9,7,0.344,0.25,0.308,0.276,0.308,0.632,
batch_1/000098.JPG,0.369,2,2,3,9,0.688,0.5,0.4,0.444,0.4,0.182,
batch_1/000099.JPG,0.222,0,8,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000064.JPG,0.023,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000100.JPG,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000101.JPG,0.489,2,5,0,8,0.667,0.286,1.0,0.444,1.0,0.385,
batch_1/000102.JPG,0.701,1,1,5,4,0.455,0.5,0.167,0.25,0.167,0.2,
batch_1/000104.JPG,0.874,4,3,3,1,0.455,0.571,0.571,0.571,0.571,0.75,
batch_1/000105.JPG,0.168,0,7,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000106.JPG,0.63,0,1,6,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000107.JPG,0.447,1,6,4,1,0.167,0.143,0.2,0.167,0.2,0.857,
batch_1/000108.JPG,0,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000110.JPG,0.005,0,0,2,0,0.0,0,0.0,0,0.0,0,
batch_1/000111.JPG,0.879,3,1,0,1,0.8,0.75,1.0,0.857,1.0,0.5,
batch_1/000115.JPG,0.304,7,7,5,2,0.429,0.5,0.583,0.538,0.583,0.778,
batch_1/000117.JPG,0.231,4,1,0,9,0.929,0.8,1.0,0.889,1.0,0.1,
batch_1/000118.JPG,0.016,1,2,0,2,0.6,0.333,1.0,0.5,1.0,0.5,
batch_1/000119.JPG,0.415,0,4,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000120.JPG,0.125,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000121.JPG,0.91,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,
batch_1/000122.JPG,0.868,1,2,0,1,0.5,0.333,1.0,0.5,1.0,0.667,
batch_1/000004.jpg,0.308,1,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,
batch_1/000124.JPG,0.659,1,5,2,1,0.222,0.167,0.333,0.222,0.333,0.833,
batch_1/000127.JPG,0.517,3,3,7,1,0.286,0.5,0.3,0.375,0.3,0.75,
